,Inv,Note
125,"Foto sup 1206, verso del supporto secondario: nota anonima manoscritta","Matheus Ferillus nobili et equestri ordine insignis, Muri comes, Alfonsi II regis ar. ac a cubiculo primus, cuisq dum paterentur anni gubernator, posteritati consulens sacellum hoc verginis assumptioni dicatum vivens sibi et suis f.c. A. Christo natalitas MCCCCLXXXXVIIII""."
126,"Foto sup 1131, verso: nota anonima manoscritta","Monument to Charles of Angon, who died in 1285, So Karl Martel, king of Hungary, Dantes friend, who died in 1301; To Clementina his wife (+1295), daughter of Kaiser Rudolf. It was put up by the Viceroy Olivares in 1599""."
127,"Foto sup 1208, verso: nota anonima manoscritta","Sigismundus Sanseverinus poisoned in 1516 on the same day and with the same poison as his brothers. By Giov. da Nola Observe below the best of Salvator Sanseverino, prince of Aricia, the last male of this most noble race""."
128,"Foto sup 1209, verso: nota anonima manoscritta","Ascanius Sansovinus poisoned in 1516 with his brothers by his uncle. Good work of Giov. da Nola""."
129,"Foto sup 1210, verso: nota anonima manoscritta","Jacobus Sanseverinus poisoned in 1516 by his wicked uncle on the same day as his two brothers. A good work of Giov. da Nola""."
130,"Foto sup 1211, verso del supporto secondario: nota anonima manoscritta","The great Viceroy Pietro di Toledo, who died poisoned by his son in law Cosimo in 1553, erected this monument in his life time. The Nolano who executed it must have been very old, as he was born in 1475. By the inscription the tomb was dedicated by the Viceroy Garsin, Pietros son in 1570. Pietro has also a simple monument in the Duomo of Florence"".
"
131,"Foto sup 1331, verso del supporto secondario: nota anonima manoscritta","Padua. Mr. Perkins says that this is an overcrowded, ill composed picture""."
132,"Foto sup 1212, verso: nota anonima manoscritta","This Theodore the Duke and Consul of Naples is send to have founded the Church in 821. His inscription in greek on a marble that broken in several pieces is fixed into the wall near the sarc. which is of a Bacchananial nature"".
"
133,"Foto sup 1235, verso del supporto secondario: nota anonima manoscritta","Tomb of Galeazzo Sanseverino who died in 1467. Beautiful early renaissance. Magnifici et splendidi equitis Gal. de Sancto Severino, etc. etc. Ossa hic sita sunt. Obiit die XXI M. Januarii Anno D. MCCCCLXVII""."
134,"Foto sup 1214, verso del supporto secondario: nota anonima manoscritta","1565""."
135,"Foto sup 1215, verso del supporto secondario: nota anonima manoscritta","Santa Chiara. Naples. Tomb of Agnese daughter of Maria of Durazzo. She died in 1387 wife of Giacomo del Balzo, Prince of Taranto and Emperor of Costantinople. And of Clementina her sister who died unmarried""."
136,"Foto sup 337, verso del supporto secondario: nota anonima manoscritta","The castle all of brick is magnificent and most extensive. / All the coats, which were enormous papal ones in terra cotta / with side scutcheon of papal legates, have been destroyed, but / a stone remains with the architects name: / MCCCCLXVI / OPUS MATHEI / NUTII PHANESIS. / This would be of Pauls 2. time. This Pope took Cesena from Roberto Malatesta. / Cesar Borgia made Cesena the capital of his duchy, the Romagna. / The Cesenati had declared him their Signore in 1500 and remained / true to him to the end of his reign. The rocca was not surrendered till August 1504, / in exchange for Cesar's liberty. But on the 20th of August the gran Capitano sent / him a prisoner to Spain. / Malatesta Novello, [...] of Pisano's medal, was lord of Cesena in 1450. / He died in 1465 and then Paul II took possessione of his lordship""."
137,"Foto sup 1216, verso: nota anonima manoscritta","Monument of Charles the Illustrions, oldest son of King Robert. He died in 1328. He is shown clad in a royal mantle, painted blue with golden lilies. The wolf and lamb drinking at his feet in the basrelief betoken the harmony existing between nobles and people during his Government. The tomb shows Tuscan influence and is probably by a scholar of Tino da Camaino, who was in Naples from 1321 to 1333. See Perkins"".
"
138,"Foto sup 338, verso del supporto secondario: nota anonima manoscritta","Cesena. / Part of fortress in the town about 1500""."
139,"Foto sup 1217, verso: nota anonima manoscritta","Santa Chiara. Naples. Tomb of Maria duchess of Durazzo, Queen Giovannas sister. She died in 1366. She lies crowned and in an empiress robes. The inscription, in Gothic letters, says: ""Maria de Francia imperatrix Costantinopolitana ac ducissa Duraciis"". This monument is in a better style than that of her father, Duke Charles of Calabria""."
140,"Foto sup 1218, verso: nota anonima manoscritta"," Duomo. Naples. Of the original monument to Pope Innocent IV, erected in 1318 by Umberto di Montauro, detto il Metropolita, archibishop of Naples, only the tomb itself, adornet with Cosimati mosaics and perhaps the lower half of the recumbant statue remain, the rest is the work of the renaissance artist who re-wrote in Latin ...""."
141,"Foto sup 339, verso del supporto secondario: nota anonima manoscritta","Modena. / La Ghirlandina, the campanile of the Duomo, / 331 feet high and built from 1224 to 1319. / The upper portion and spire are later. / Here are kept the spoils of the war of 1325 / with Bologna, la Secchia rapita, sung / by Tassoni, whose statue stands behind / the Duomo""."
142,"Foto sup 1219, verso del supporto secondario: nota anonima manoscritta","Santa Chiara. Naples. Monument to Raymund Cabano, who died in 1334. Mr. Hare ingeniously makes him strangle Giovannas husband, Andrea in 1345. It was his Freedman and godson, a Saracen, who committed this misdeed""."
143,"Foto sup 1220, verso del supporto secondario: nota anonima manoscritta","Santa Chiara. Naples. Hic jacet Dns Perroctus de Cabanis, miles, regius caballanius, filius Dni. Raumundi de Cabanis regii hospiti. senescal. Mortuus est anno domini MCCCXXXVI die XXVIIII macii indic. IIII cuius anima requiescat in pace - amen""."
144,"Foto sup 1221, verso: nota anonima manoscritta","Santa Chiara. Naples. Hic jacet vir magnificus et egregius Dns. Drugo de Merloto, miles strenuns. filius Dni. Karoli de Merloto et Dne Isabelle de Alneto, qui obiit Anno Dni. MCCCXXXVIIII. etc. etc. He was de genere francorum. Observe his nine merli or merlotti in his coat and the French fleurs de legs in a canton. This is a good Gothic tomb""."
145,"Foto sup 341, verso del supporto secondario: nota anonima manoscritta","Duomo Parma. / The campanile is of the 13 th. century: it is 206 feet high only. / The bronze angel on its top is of the year 1294."""
146,"Foto sup 1222, verso: nota anonima manoscritta","The celebrated Altar Chapel of the Mirabolli in S. Giovanni Carbonara in Naples. The master who made it is unknown, but it is of early renaissance about 1450. In the basrelief above the Baptist and Virtues one sees Troyano Mirabollo and his life Magdalena presented to the Virgin by S. Joseph and S. John B. On the exterior of the monument the ...""."
147,"Foto sup 1222, verso: nota anonima manoscritta","Christi Dom. Genetrici / Fabius Arcella Autistes / Lubens struxit / ac hic dedicavit / Theogonia An MLXXXVI. The Virgin between the Baptist and St. Matthew. One of the finest work of Giovanni da Nola in the church of S. Domenico, Naples""."
148,"Foto sup 1224, verso: nota anonima manoscritta","San Domenico. Naples. As Hector Carrafa, Ruborum comes, hoc monumentum sibi vivus fecit and as he died in 1511, it must be older than that date. Probably the work of A. Agnello del Fiore""."
149,"Foto sup 342, verso del supporto secondario: nota anonima manoscritta","Piacenza. / Campanile of the Duomo, resembling that of / San Marco, Venice. The Gabbia, on iron cage, is a prison in which / criminals were exposed in the middle ages; Ludovico il moro is said to have built it in 1495""."
150,"Foto sup 1225, verso: nota anonima manoscritta","Tomb of Galeazzo Pandono in S. Domenico of Naples. It is dated 1514 and is a masterpiece of Giovanni Merliano da Nolano (1478-1559)""."
151,"Foto sup 1226, verso: nota anonima manoscritta","San Domenico. Naples. Monument of Francesco Carrafa, who died aged 84. It was put up to his optimo parenti by the celebrated Cardinal Olivieri Carrafa in about the year 1500. Very fine and rich renaissance""."
152,"Foto sup 343, verso del supporto secondario: nota anonima manoscritta","Campanile of Santa Maria Pomposa near Comacchio. / Here Barbarossa is said to have resided in 1177 whilst he negotiated / with Pope Alexander then at Venice. The belfry seems of this period""."
153,"Foto sup 1227, verso: nota anonima manoscritta"," I have but little doubs that the Columbarium was Virgils tomb, as all events its masonry is of his period and he was certainly buried close at hand. Outside is an inscription of 1553: Qui cineres? tumuli haec vestigia: conditur olim Ille hic qui cecinit pascua, rura, duces. St. Paul visited the tomb: ""Ad Maronis mausoleum Ductus, ...""."
154,"Foto sup 1228, verso: nota anonima manoscritta","San Domenico. Naples. Ancient tombs of Donnorso family below altar of St. Jerome ""Arain divi Hieronymo a familia Donnurso dicatam vetustate collabentem D. Hyacinthus eyusdem familiae Donnorso restauravit et suo nitori restituit. An. Aerae Chris. 1735"". This altar has a bas-relief of St. Jerome erected in 1515 by Thomas of the family Dni Ursonis..."""
155,"Foto sup 1229, verso: nota anonima manoscritta","Santa Chiara. Naples. 1358. +Corpus magnifici Merloti est hic Nicoli...... Anno milleno Treceno quiquages. ottavo, anima ipsius Deus dat gaudia pius. He must have been a son or nephew of Drugo, who died in 1339. Tho' the lettering be Gothic, the tomb shows Latin influence""."
156,"Foto sup 1230, verso: nota anonima manoscritta","San Gennaro. Naples. Tomb of Cardinal Francesco Carbone, who died in 1405, by Baboccio. The relief shows le figure di tutti i suoi parenti. His family was nobile del Seggio di Capuana (a division of Naples) and he was a nephew of Boniface IX, Tomacelli""."
157,"Foto sup 1232, verso: nota anonima manoscritta","Monument of Cristoforo d'Aquino who died in 1342 and of Tommaso his son +1357. They were of the blood St. Thomas""."
158,"Foto sup 1233, verso: nota anonima manoscritta","+hic jacet dn. Gregorius Filomarinus qui hobiit anno milesimo CCCLXIIII die primo mensis Marcii Septime indiccionis corpus anima requiescat in pace. Amen. Vos qui legitis orate pro me ad dominum The Figli marini were di nobiltà antica e baronale at Naples before Manfredi time""."
159,"Foto sup 1234, verso del supporto secondario: nota anonima manoscritta","The porphiry column which stood in the middle of the market on the spot where Conradin and Frederic were behended has this inscription: De Persis Coirap habitator heap. Quo dmn. MCCLI hoc opus fieri fecit magister dominicus"". "
160,"Foto sup 346, verso: nota anonima sul verso del supporto secondario","Ferrara. / The fortified palace of the Este family. It dates from the 14 th. cent.y / but was reduced to its present form by Duke Borso, who died / in 1471. The upper story is of still later date. / In the dungeons of the tower on the left of the photo, below the level of / the water in the ditch, were confined in 1425 Ugo d'Este and / Parisina de' Malateste. / To this palace also came Lucrezia Borgia as a bride in 1501, / and here she died in 1519""."
161,"Foto sup 1236, verso del supporto secondario: nota anonima manoscritta","Lately found at Pompei. He is like the Idolino of Florence. Museo Etrusco. but not so fine. He is very much spotted and his eyes are coming out of his head. Bronze, archaic""."
162,"Foto sup 351, verso: nota anonima sul verso del supporto secondario","Rimini. Tempio Malatestiano. / Sepulchral slab of Cardinal Ludovico Bonetti; a Sicilian / from Grigenti; bishop of Amalfi, Taranto and other dioceses. / He was sent as ambassador to king Ladislas by Innocent VII / and created Cardinal by Gregory XII in 1408. / He died at Rimini en route to the Council of Constance / in sept. 1413 and was buried in the middle of the church of St. Francis. / When Malatesta converted the church into a temple some / 40 years later the tomb slab of the Cardinal was removed / and placed against the interior wall of the entrance where it / now stands. The inscription reads this...""."
